nome_estacao;cod_estacao;bacia;sub_bacia;operadora;responsavel;municipio_uf;municipio;uf;latitude;longitude;altitude;cod_rio;nome_rio;origem;status_estacao
PCH CHIMARRÃO RIO SANTA RITA;86350000;8;86;01192 - CHIMARRÃO - Chimarrão Energética S.A.;01192 - CHIMARRÃO - Chimarrão Energética S.A.;MUITOS CAPÕES-RS;MUITOS CAPÕES;RS;-28.47250;-51.36000;0.00;86125100;RIO SANTA RITA;Setor Elétrico;Ativo
PCH JARDIM MONTANTE;86390900;8;86;00814 - JARDIM - Hidrelétrica Jardim Ltda;00814 - JARDIM - Hidrelétrica Jardim Ltda;ANDRÉ DA ROCHA-RS;ANDRÉ DA ROCHA;RS;-28.53280;-51.40940;595.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PCH JARDIM BARRAMENTO;86402000;8;86;00814 - JARDIM - Hidrelétrica Jardim Ltda;00814 - JARDIM - Hidrelétrica Jardim Ltda;ANDRÉ DA ROCHA-RS;ANDRÉ DA ROCHA;RS;-28.56000;-51.40810;590.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PCH JARDIM JUSANTE;86403000;8;86;00814 - JARDIM - Hidrelétrica Jardim Ltda;00814 - JARDIM - Hidrelétrica Jardim Ltda;ANDRÉ DA ROCHA-RS;ANDRÉ DA ROCHA;RS;-28.56920;-51.40640;556.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PCH CHIMARRÃO JUSANTE;86404100;8;86;01192 - CHIMARRÃO - Chimarrão Energética S.A.;01192 - CHIMARRÃO - Chimarrão Energética S.A.;MUITOS CAPÕES-RS;MUITOS CAPÕES;RS;-28.60170;-51.66860;0.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PCH CHIMARRÃO BARRAMENTO;86404200;8;86;01192 - CHIMARRÃO - Chimarrão Energética S.A.;01192 - CHIMARRÃO - Chimarrão Energética S.A.;MUITOS CAPÕES-RS;MUITOS CAPÕES;RS;-28.59810;-51.39920;518.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PCH SANTA CAROLINA BARRAMENTO;86405000;8;86;00364 - CAROLINA - Carolina Geração de Energia LTDA.;00364 - CAROLINA - Carolina Geração de Energia LTDA.;ANDRÉ DA ROCHA-RS;ANDRÉ DA ROCHA;RS;-28.61530;-51.40330;492.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PCH SANTA CAROLINA JUSANTE;86406000;8;86;00364 - CAROLINA - Carolina Geração de Energia LTDA.;00364 - CAROLINA - Carolina Geração de Energia LTDA.;ANDRÉ DA ROCHA-RS;ANDRÉ DA ROCHA;RS;-28.61890;-51.40110;464.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PROTÁSIO ALVES/IPÊ;86410001;8;86;01463 - DCRS - Defesa Civil do Rio Grande do Sul;01463 - DCRS - Defesa Civil do Rio Grande do Sul;PROTÁSIO ALVES-RS;PROTÁSIO ALVES;RS;-28.73830;-51.42580;366.00;86125000;RIO TURVO;RHN;Ativo
PCH DA ILHA BALSA DO TURVO;86410050;8;86;00297 - DA ILHA - Da Ilha Energética S.A.;00297 - DA ILHA - Da Ilha Energética S.A.;ANTÔNIO PRADO-RS;ANTÔNIO PRADO;RS;-28.80860;-51.44670;0.00;86125000;RIO TURVO;Setor Elétrico;Ativo
PCH DA ILHA AFLUENTE;86410800;8;86;00297 - DA ILHA - Da Ilha Energética S.A.;00297 - DA ILHA - Da Ilha Energética S.A.;PROTÁSIO ALVES-RS;PROTÁSIO ALVES;RS;-28.79830;-51.47440;0.00;86125050;ARROIO PRIMAVERA;Setor Elétrico;Ativo
PCH JARARACA PRATINHA;86430500;8;86;00402 - VÊNETO - Vêneto Energética S.A.;00402 - VÊNETO - Vêneto Energética S.A.;PROTÁSIO ALVES-RS;PROTÁSIO ALVES;RS;-28.82250;-51.49390;344.00;86125500;RIO PRATA;Setor Elétrico;Ativo
PCH DA ILHA BARRAMENTO;86430900;8;86;00297 - DA ILHA - Da Ilha Energética S.A.;00297 - DA ILHA - Da Ilha Energética S.A.;VERANÓPOLIS-RS;VERANÓPOLIS;RS;-28.89250;-51.45500;0.00;86125500;RIO PRATA;Setor Elétrico;Ativo
UHE MONTE CLARO BALSA DO PRATA;86447000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;NOVA ROMA DO SUL-RS;NOVA ROMA DO SUL;RS;-28.97140;-51.46110;200.00;86125500;RIO PRATA;Setor Elétrico;Ativo
UHE MONTE CLARO BARRAMENTO;86448000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;VERANÓPOLIS-RS;VERANÓPOLIS;RS;-29.02920;-51.52190;201.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE MONTE CLARO JUSANTE 1 (ALÇA);86450000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;BENTO GONÇALVES-RS;BENTO GONÇALVES;RS;-29.07500;-51.52390;128.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE MONTE CLARO JUSANTE 2;86450500;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;VERANÓPOLIS-RS;VERANÓPOLIS;RS;-29.02110;-51.53330;118.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
CGH TAIPINHA BARRAMENTO;86450600;8;86;00166 - CERFOX - CERFOX;00166 - CERFOX - CERFOX;SOLEDADE-RS;SOLEDADE;RS;-28.93640;-51.50580;555.00;86125570;ARROIO TAIPINHA;Setor Elétrico;Ativo
UHE 14 DE JULHO MONTANTE;86451000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;VERANÓPOLIS-RS;VERANÓPOLIS;RS;-29.01560;-51.54280;119.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE 14 DE JULHO BARRAMENTO;86470800;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;COTIPORÃ-RS;COTIPORÃ;RS;-29.06580;-51.67440;108.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE 14 DE JULHO ALÇA;86470900;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;COTIPORÃ-RS;COTIPORÃ;RS;-29.07000;-51.63420;88.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
UHE 14 DE JULHO JUSANTE;86471000;8;86;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;00299 - CERAN - Companhia Energética Rio das Antas-CERAN;COTIPORÃ-RS;COTIPORÃ;RS;-29.07970;-51.68140;83.00;86100000;RIO DAS ANTAS;Setor Elétrico;Ativo
LINHA JOSÉ JÚLIO;86472000;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SANTA TEREZA-RS;SANTA TEREZA;RS;-29.09780;-51.69970;61.10;86100000;RIO DAS ANTAS;RHN;Ativo
SANTA TEREZA;86472600;8;86;00082 - SGB-CPRM - Serviço Geológico do Brasil;00001 - ANA - Agência Nacional de Águas;SANTA TEREZA-RS;SANTA TEREZA;RS;-29.17810;-51.73220;0.00;86001000;RIO TAQUARI;RHN;Ativo
PCH CAÇADOR PONTE SÃO DOMINGOS;86479000;8;86;00157 - CAÇADOR - Caçador Energética S.A;00157 - CAÇADOR - Caçador Energética S.A;SÃO DOMINGOS DO SUL-RS;SÃO DOMINGOS DO SUL;RS;-28.57920;-51.86860;0.00;86131100;RIO SÃO DOMINGOS;Setor Elétrico;Ativo
PCH CAÇADOR MONTANTE;86488000;8;86;00157 - CAÇADOR - Caçador Energética S.A;00157 - CAÇADOR - Caçador Energética S.A;SERAFINA CORRÊA-RS;SERAFINA CORRÊA;RS;-28.68470;-51.85060;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PCH CAÇADOR BARRAMENTO;86489000;8;86;00157 - CAÇADOR - Caçador Energética S.A;00157 - CAÇADOR - Caçador Energética S.A;SERAFINA CORRÊA-RS;SERAFINA CORRÊA;RS;-28.70750;-51.85030;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
PCH BOA FÉ BARRAMENTO;86493000;8;86;00480 - BOA FÉ - Boa Fé Energética S.A;00480 - BOA FÉ - Boa Fé Energética S.A;NOVA BASSANO-RS;NOVA BASSANO;RS;-28.74640;-51.85360;0.00;86131000;RIO CARREIRO;Setor Elétrico;Ativo
