cod,cobertura_telemetria_pct,abaixo_10pct,nome,rio
85438510,87.64,0,PONTE VACACAÍ MIRIM CPRM,RIO VACACAÍ-MIRIM
85470200,0.00,1,SÃO GABRIEL,RIO VACACAÍ
85480010,57.62,0,PASSO DO ROCHA,RIO VACACAÍ
85500010,91.09,0,CGH COLORADO ARROIO BONITO,ARROIO BONITO
85500100,94.97,0,CGH COLORADO MONTANTE,RIO COLORADO
85500990,88.53,0,CGH COLORADO BARRAMENTO,RIO COLORADO
85623010,88.09,0,CAMPING SÃO SEPÉ,RIO SÃO SEPÉ
85642000,97.19,0,PASSO SÃO LOURENÇO,RIO JACUÍ
85642005,0.00,1,PASSO SÃO LOURENÇO CACH. DO SUL,RIO JACUÍ
85653000,0.00,1,CERRO BRANCO/CANDELÁRIA,RIO BOTUCARAÍ
85810000,0.00,1,SINIMBU,RIO PARDINHO
85900000,94.93,0,RIO PARDO,RIO JACUÍ
86060010,90.76,0,CGH CAMBARÁ BARRAMENTO,ARROIO ARCADA
86099000,98.81,0,PCH PEZZI MONTANTE,RIO DAS ANTAS
86100600,97.39,0,PCH PEZZI ARROIO PINHEIRO ALTO,ARROIO PINHEIRO ALTO
86100800,97.45,0,PCH PEZZI BARRAMENTO,RIO DAS ANTAS
86101000,95.33,0,PCH PASSO DO MEIO MONTANTE,RIO DAS ANTAS
86102000,93.01,0,PCH PASSO DO MEIO MONTANTE TAINHAS,RIO TAINHAS
86109000,97.42,0,PCH PASSO DO MEIO BARRAMENTO,RIO DAS ANTAS
86110000,95.12,0,PCH PASSO DO MEIO JUSANTE,RIO DAS ANTAS
86117000,96.37,0,PCH SERRA DOS CAVALINHOS I ARROIO DO GOVERNADOR,ARROIO DO GOVERNADOR
86118000,97.52,0,PCH SERRA DOS CAVALINHOS I BARRAMENTO,RIO DAS ANTAS
86125000,27.94,0,CGH TRABUCO JUSANTE,ARROIO TRABUCO
86125050,75.11,0,PCH MORRO GRANDE MONTANTE,RIO ITUIM
86125100,74.66,0,PCH MORRO GRANDE BARRAMENTO,RIO ITUIM
86125120,75.17,0,PCH MORRO GRANDE JUSANTE 1,RIO ITUIM
86125130,67.09,0,PCH MORRO GRANDE JUSANTE 2,RIO ITUIM
86125160,5.10,1,PCH SALTINHO BARRAMENTO,RIO ITUIM
86125165,9.96,1,PCH SALTINHO ALÇA,RIO ITUIM
86125200,37.14,0,PCH SALTINHO JUSANTE,RIO ITUIM
86125500,94.65,0,PCH JARARACA BARRAMENTO,RIO PRATA
86160000,95.77,0,PASSO TAINHAS,RIO TAINHAS
86162000,97.45,0,PCH SERRA DOS CAVALINHOS II BARRAMENTO,RIO DAS ANTAS
86163000,92.67,0,PCH SERRA DOS CAVALINHOS II JUSANTE,RIO DAS ANTAS
86194900,91.11,0,PCH CAZUZA FERREIRA MONTANTE,LAJEADO GRANDE
86195000,91.91,0,PCH CAZUZA FERREIRA BARRAMENTO,LAJEADO GRANDE
86195100,94.57,0,PCH CAZUZA FERREIRA ALÇA,LAJEADO GRANDE
86200500,94.93,0,PCH CAZUZA FERREIRA JUSANTE,LAJEADO GRANDE
86200900,89.14,0,PCH CRIÚVA BARRAMENTO,LAJEADO GRANDE
